#=================================================================
# To inform search term selections on loc.gov home page
# Report suite: National Library (LOC Main)
"# Date: Nov 1, 2023 - Nov 30, 2023"
# Segments: Search: P1 Search
#=================================================================


##############################################
# Top Search Terms (U.S.) - Search Term (conversion) (50000 items out of 481831)
##############################################
,Search Term (conversion) Instances
Search Term (conversion),1900088
(Low Traffic),112064
true,16498
civil war,4678
christmas,4296
thanksgiving,3124
palestine,3084
newspapers,2829
china,2526
great depression,1710
israel,1619
carole lombard,1593
slavery,1377
vietnam war,1340
abraham lincoln,1328
new york,1310
prohibition,1252
pearl harbor,1230
the great depression,1104
rosa parks,1097
japan,1085
chicago,1081
child labor,1058
hooverville,1057
maps,1044
music,1040
boston tea party,1001
mexico,954
jazz,906
titanic,880
white pages-chicago suburban north,869
george washington,857
ukraine,849
new york city,812
turkey,796
american revolution,786
native american,784
native americans,778
immigration,775
puerto rico,750
jackie robinson,749
virginia,748
naples,745
industrial revolution,738
philadelphia,728
trail of tears,727
cuba,724
dust bowl,723
theodore roosevelt,712
hawaii,708
dorothea lange,701
slave narratives,699
women,695
poster,688
africa,688
india,686
labor unions,682
"frissell, toni",678
los angeles,676
thomas jefferson,676
salem witch trials,670
declaration of independence,664
civil rights,661
emmett till,647
9/11,640
new orleans,638
world war 2,637
bermuda,636
martin luther king jr,636
history,630
world war ii,630
paris,626
california,615
california gold rush,605
cold war,600
jerusalem,599
holocaust,587
kentucky,586
boston massacre,583
flowers,580
fashion,578
women's suffrage,575
florida,574
andrew jackson,572
north carolina,572
bulgaria,569
monroe doctrine,563
emancipation proclamation,559
fsa/owi shelflist,555
frederick douglass,554
sanborn maps,548
baltimore,544
san francisco,543
revolutionary war,543
war of 1812,536
egypt,533
baseball,533
los angeles 2000,526
cowboy,524
map,524
ohio,523
civil rights movement,523
harriet tubman,522
woman,519
france,518
world war 1,517
world map,515
louisiana,512
gaza,511
gettysburg,511
boston,511
world,510
bible,508
war,505
santa claus,505
"frissell, toni, 1907-1988, photographer",504
thanksgiving recipes,503
tennessee,491
south carolina,489
iran,483
christopher columbus,482
texas,480
segregation,480
jim crow,476
martin luther king,476
ellis island,476
children,475
middle east,470
women's rights,469
jack delano,467
michigan,466
washington dc,463
pennsylvania,462
national parks,459
transcontinental railroad,456
stars and stripes forever,453
civil rights movements,452
wright brothers,449
missouri,445
korean war,440
russia,439
native american boarding schools,436
farm security administration,434
ireland,434
veterans,433
temperance cartoons,433
united states,427
prisoners of war,427
georgia,422
westward expansion,421
magician posters,421
pittsburgh,419
"muybridge, eadweard",418
harlem renaissance,417
iraq,417
ww2,415
philippines,412
art,412
posters,412
ku klux klan,412
america,411
dancing,410
marilyn monroe,403
brazil,402
gold rush,402
rhode island,401
vietnam,401
food,398
portugal,397
nude,395
progressive era,394
ww1,394
high commissioner palestine,394
indian removal act,392
chinese,390
basketball,389
dance,388
witchcraft,386
gilded age,386
korea,386
puebla de la colonia a la revolucion,384
cats,383
illinois,383
winter,382
wwii,381
peru,376
organ transplantation,374
new mexico,373
new jersey,373
african americans,370
peking,370
maine,370
horse,369
john philip sousa,369
manifest destiny,366
constitution,366
battle of gettysburg,365
sanborn,365
newspaper,364
architecture,364
statue of liberty,364
henry ford,364
germany,362
arkansas,362
new deal,360
american civil war,353
walt disney,352
jeffries,350
informational text,350
christmas tree,349
cotton gin,348
italy,345
dictionary,345
science,345
political cartoons,345
fsa,344
space,342
cat,341
world war i,341
19th amendment,341
artificial intelligence,340
detroit,339
poetry,339
d-day,337
arizona,337
solomon islands,336
el salvador,335
lynching,334
oregon trail,334
railroad,333
wwi,333
minnesota,332
morocco,332
injured in action,331
1920s,331
asia,330
lithograph,330
"pearl harbor (hawaii), attack on",328
travel,328
john brown,328
spain,326
west virginia,324
african american,323
spanish american war,323
tuskegee airmen,323
victory : march song,323
canada,322
mexican american war,321
georgian,321
europe,321
women in world war 2,320
indiana,319
ottoman,319
tomsk,319
gordon parks,318
jim crow laws,316
circus,315
afghanistan,315
world war two,314
alabama,313
police,312
flappers,311
elvis presley,308
technology,306
colombia,306
immigrants,306
fiction,306
french revolution,305
"lange, dorothea",303
portrait,302
brooklyn,302
"carling, nevada",302
reconstruction,301
nature,301
cesar chavez,300
quran,299
religion,298
louisiana purchase,297
las vegas,296
berlin wall,296
french,295
indians,295
the civil war,294
a veteran who was injured in action,293
education,292
alaska,292
atomic bomb,292
wisconsin,292
love,291
london,291
frankum,291
"""turkish straits""",290
womens suffrage,290
ottoman empire,288
haiti,287
cotton,286
birds,285
ethiopia,284
montana,284
civilian conservation corps,284
medicine,284
ufo,284
united states history,282
alan lomax,281
plastiras,280
indian,280
codex,280
seneca falls convention,280
art nouveau,279
greece,279
bill of rights,278
panama,278
